time,open,high,low,close,Return,Kelly Fraction
2020-08-18,3382.8,3395.0,3370.0,3392.7,,0.0
2020-08-19,3392.9,3399.4,3369.2,3373.0,-0.005806584726029351,0.0
2020-08-20,3372.1,3391.1,3348.4,3387.2,0.004209902164245438,0.0
2020-08-21,3388.0,3400.2,3360.5,3396.3,0.0026865847897969974,0.0
2020-08-24,3400.1,3432.7,3398.2,3430.1,0.009952006595412621,0.0
2020-08-25,3430.8,3451.9,3425.0,3447.2,0.00498527739716037,0.0
2020-08-26,3447.7,3486.7,3439.9,3483.5,0.010530285449060095,0.0
2020-08-27,3481.3,3501.4,3467.9,3491.1,0.0021817137935984388,0.0
2020-08-28,3491.2,3512.0,3483.7,3509.1,0.005155968032998226,0.0
2020-08-31,3511.5,3526.8,3492.7,3495.7,-0.003818642956883611,0.0
2020-09-01,3495.0,3532.7,3486.9,3532.2,0.010441399433589904,0.0
2020-09-02,3529.0,3588.0,3529.0,3578.5,0.013107978030689083,0.0
2020-09-03,3577.9,3587.2,3426.9,3464.3,-0.03191281263099055,0.0
2020-09-04,3456.0,3485.8,3348.9,3416.4,-0.013826747106197579,0.0
2020-09-07,3422.6,3439.6,3382.3,3434.4,0.005268703898840821,0.0
2020-09-08,3434.4,3448.3,3329.1,3337.4,-0.028243652457488944,0.0
2020-09-09,3316.3,3424.9,3297.1,3396.5,0.0177083957571762,0.0
2020-09-10,3399.2,3425.1,3328.3,3342.4,-0.015928161342558478,0.0
2020-09-11,3347.7,3375.7,3309.6,3338.1,-0.0012865007180469235,0.0
2020-09-14,3349.1,3402.1,3346.6,3378.1,0.011982864503759627,0.0
2020-09-15,3380.7,3418.5,3375.5,3405.2,0.008022261034309253,0.0
2020-09-16,3407.0,3429.0,3383.7,3390.4,-0.004346293903441767,0.0
2020-09-17,3389.4,3395.9,3319.7,3357.8,-0.009615384615384581,0.0
2020-09-18,3356.2,3373.2,3290.8,3326.7,-0.009262016796712236,0.0
2020-09-21,3322.6,3335.8,3228.3,3284.5,-0.012685243634833254,0.0
2020-09-22,3282.4,3320.8,3267.7,3312.5,0.008524889633125365,0.0
2020-09-23,3314.2,3330.6,3232.1,3242.3,-0.02119245283018867,0.0
2020-09-24,3241.3,3279.1,3209.3,3252.8,0.0032384418468371923,0.0
2020-09-25,3255.2,3307.3,3217.5,3295.7,0.013188637481554188,0.0
2020-09-28,3304.8,3361.6,3303.3,3358.8,0.0191461601480718,0.0
2020-09-29,3357.8,3373.0,3326.7,3339.7,-0.005686554721924586,-0.0782288564307317
2020-09-30,3338.8,3393.8,3301.1,3348.0,0.002485253166452095,-0.05005668111771299
2020-10-01,3355.4,3396.9,3353.6,3377.8,0.00890083632019123,-0.019583225402077378
2020-10-02,3378.7,3384.8,3310.6,3356.3,-0.006365089703357252,-0.001130636086239054
2020-10-05,3364.7,3410.1,3356.7,3402.5,0.013765158060959903,-0.034216740789524705
2020-10-06,3403.7,3431.8,3340.5,3342.8,-0.017545922116091073,-0.0197730766913378
2020-10-07,3343.3,3426.3,3341.8,3416.9,0.02216704559052296,-0.09742218068068362
2020-10-08,3415.0,3455.2,3414.9,3454.8,0.011091925429482785,-0.05301452578069004
2020-10-09,3454.9,3488.1,3454.0,3484.6,0.00862568021303689,-0.023022528460180013
2020-10-12,3475.2,3549.8,3472.7,3540.7,0.01609940882741201,-0.012157204063220716
2020-10-13,3541.7,3544.2,3500.1,3510.4,-0.008557629847205317,0.046406637036319566
2020-10-14,3511.1,3532.4,3480.2,3487.3,-0.006580446672743823,-0.009108328805408655
2020-10-15,3489.1,3494.3,3439.6,3483.9,-0.0009749663063115532,-0.0670303981700166
2020-10-16,3486.9,3516.3,3469.6,3472.1,-0.003387008811963632,0.023847979228422148
2020-10-19,3480.3,3504.4,3419.1,3441.7,-0.008755508193888484,0.05451418872108238
2020-10-20,3444.9,3478.0,3427.0,3436.2,-0.0015980474765378005,0.012827912587825608
2020-10-21,3443.4,3466.0,3429.2,3439.6,0.0009894651068040883,0.08821345353733105
2020-10-22,3438.5,3460.8,3410.7,3458.6,0.005523898127689275,0.045526971518345644
2020-10-23,3463.0,3470.3,3439.4,3460.4,0.0005204417972590747,0.11678832322612033
2020-10-26,3452.5,3453.0,3364.4,3402.8,-0.01664547451161713,0.13040071857361207
2020-10-27,3403.0,3418.1,3376.9,3376.9,-0.007611378864464613,0.03194706026672515
2020-10-28,3376.6,3377.7,3268.9,3282.4,-0.027984245906008454,-0.022738353850222798
2020-10-29,3285.4,3341.5,3257.9,3284.3,0.0005788447477454994,-0.10489572987238875
2020-10-30,3274.2,3303.9,3233.3,3286.7,0.0007307493225343631,-0.07410634010919828
2020-11-02,3270.2,3331.3,3251.5,3310.3,0.007180454559284399,-0.03931107637786771
2020-11-03,3311.7,3389.5,3309.6,3366.2,0.016886687007219736,0.039188563712508395
2020-11-04,3368.1,3486.5,3326.5,3447.6,0.024181569722535823,0.06837524741841997
2020-11-05,3448.3,3529.4,3435.3,3518.3,0.020507019375797686,0.21771185091762338
2020-11-06,3512.7,3525.1,3463.1,3516.0,-0.0006537248102777005,0.2519934044621223
2020-11-09,3527.0,3674.0,3522.0,3550.4,0.009783845278725778,0.2117635553689549
2020-11-10,3554.8,3565.8,3511.3,3550.2,-5.633168093743812e-05,0.19222027670375144
